私人定制$$$http://cwc.serv00.net/wallpaper/poster/music.jpg,#genre#
感情回归(演唱会),http://em.21dtv.com/songs/60018023.mkv
光影约誓,http://em.21dtv.com/songs/60166775.mkv
红尘岁月,http://em.21dtv.com/songs/60020775.mkv
孩儿,http://em.21dtv.com/songs/60104440.mkv
火美人(演唱会),http://em.21dtv.com/songs/60022446.mkv
黑色快车,http://em.21dtv.com/songs/60095344.mkv
还是你懂得爱我(演唱会),http://em.21dtv.com/songs/60019623.mkv
何谓爱,http://em.21dtv.com/songs/60066022.mkv
还我真情,http://em.21dtv.com/songs/60019645.mkv
幻影,http://em.21dtv.com/songs/60021826.mkv
回赠,http://em.21dtv.com/songs/60022257.mkv
讲不出再见(演唱会),http://em.21dtv.com/songs/60023412.mkv
酒红色的心,http://em.21dtv.com/songs/60024422.mkv
假如,http://em.21dtv.com/songs/60093205.mkv
爵士怨曲 (演唱会),http://em.21dtv.com/songs/60024877.mkv
雾之恋,http://em.21dtv.com/songs/60047857.mkv
凌晨一吻,http://em.21dtv.com/songs/60027439.mkv
亮了红灯(演唱会),http://em.21dtv.com/songs/60027343.mkv
理想与和平,http://em.21dtv.com/songs/60026893.mkv
梦幻的笑容,http://em.21dtv.com/songs/60029538.mkv
梦仍是一样,http://em.21dtv.com/songs/60029635.mkv
那些感动过人的歌,http://em.21dtv.com/songs/60030788.mkv
你知我知,http://em.21dtv.com/songs/60032559.mkv
偏爱(演唱会),http://em.21dtv.com/songs/60033407.mkv
情凭谁来定错对,http://em.21dtv.com/songs/60035155.mkv
墙上的肖像(演唱会),http://em.21dtv.com/songs/60034384.mkv
情是永愿着迷,http://em.21dtv.com/songs/60035342.mkv
情思中独困,http://em.21dtv.com/songs/60066251.mkv
趣味人生,http://em.21dtv.com/songs/60081806.mkv
情义两心知,http://em.21dtv.com/songs/60035410.mkv
全因你,http://em.21dtv.com/songs/60096950.mkv
谁可改变,http://em.21dtv.com/songs/60040007.mkv
俗世洪流(演唱会),http://em.21dtv.com/songs/60040843.mkv
世外桃源,http://em.21dtv.com/songs/60039335.mkv
水中花,http://em.21dtv.com/songs/60086851.mkv
无边的思忆(演唱会),http://em.21dtv.com/songs/60047061.mkv
忘不了您(演唱会),http://em.21dtv.com/songs/60043503.mkv
无言感激,http://em.21dtv.com/songs/60047531.mkv
笑看人生,http://em.21dtv.com/songs/60049936.mkv
夏日寒风,http://em.21dtv.com/songs/60048376.mkv
相识非偶然,http://em.21dtv.com/songs/60048710.mkv
小珊瑚,http://em.21dtv.com/songs/60049725.mkv
小说人生(演唱会),http://em.21dtv.com/songs/60049752.mkv
星夜的呼唤,http://em.21dtv.com/songs/60151098.mkv
下雨晚上(演唱会),http://em.21dtv.com/songs/60048351.mkv
幸运星,http://em.21dtv.com/songs/60051427.mkv
永不想你(演唱会),http://em.21dtv.com/songs/60093212.mkv
也曾相识,http://em.21dtv.com/songs/60052422.mkv
一点光,http://em.21dtv.com/songs/60066517.mkv
一个永远不好的伤口(演唱会),http://em.21dtv.com/songs/60053121.mkv
杨花,http://em.21dtv.com/songs/60102748.mkv
艺海浮台,http://em.21dtv.com/songs/60135758.mkv
一首歌一个故事(演唱会),http://em.21dtv.com/songs/60053680.mkv
一生中最爱(演唱会),http://em.21dtv.com/songs/60053636.mkv
遥望,http://em.21dtv.com/songs/60052309.mkv
雨丝情愁(演唱会),http://em.21dtv.com/songs/60055701.mkv
雨夜的浪漫,http://em.21dtv.com/songs/60055721.mkv
友谊永在,http://em.21dtv.com/songs/60166376.mkv
最爱的你(演唱会),http://em.21dtv.com/songs/60060065.mkv
最爱笑的人,http://em.21dtv.com/songs/60060110.mkv
知不知,http://em.21dtv.com/songs/60058638.mkv
再等几天(演唱会),http://em.21dtv.com/songs/60056746.mkv
知道又如何,http://em.21dtv.com/songs/60058658.mkv
在乎,http://em.21dtv.com/songs/60057055.mkv
左麟右里,http://em.21dtv.com/songs/60060645.mkv
这世界已疯癫,http://em.21dtv.com/songs/60057839.mkv
浊世漩涡,http://em.21dtv.com/songs/60166776.mkv
珍惜的珍惜(演唱会),http://em.21dtv.com/songs/60057992.mkv
只想孤单一个自己(演唱会),http://em.21dtv.com/songs/60058470.mkv
自选角度,http://em.21dtv.com/songs/60059739.mkv
只有你,http://em.21dtv.com/songs/60058598.mkv
珍重(演唱会),http://em.21dtv.com/songs/60058004.mkv

BEYOND$$$http://cwc.serv00.net/wallpaper/poster/beyond.jpg,#genre#
Amani(演唱会),http://em.21dtv.com/songs/60000215.mkv
报答一生,http://em.21dtv.com/songs/60010041.mkv
半斤八两,http://em.21dtv.com/songs/60009876.mkv
不可一世(演唱会),http://em.21dtv.com/songs/60011198.mkv
俾面派对(演唱会),http://em.21dtv.com/songs/60010410.mkv
不再犹豫(演唱会),http://em.21dtv.com/songs/60011764.mkv
赤红热血,http://em.21dtv.com/songs/60092147.mkv
冲开一切,http://em.21dtv.com/songs/60012859.mkv
打不死,http://em.21dtv.com/songs/60013752.mkv
大地,http://em.21dtv.com/songs/60013887.mkv
点解点解,http://em.21dtv.com/songs/60015306.mkv
孤单一吻,http://em.21dtv.com/songs/60018872.mkv
光辉岁月(演唱会),http://em.21dtv.com/songs/60019283.mkv
鼓舞,http://em.21dtv.com/songs/60019017.mkv
高温派对(演唱会),http://em.21dtv.com/songs/60018234.mkv
海阔天空,http://em.21dtv.com/songs/60019755.mkv
缓慢,http://em.21dtv.com/songs/60021808.mkv
和平与爱,http://em.21dtv.com/songs/60020429.mkv
灰色轨迹(演唱会),http://em.21dtv.com/songs/60022041.mkv
活着便精彩,http://em.21dtv.com/songs/60022393.mkv
教坏细路,http://em.21dtv.com/songs/60023534.mkv
旧日的足迹(演唱会),http://em.21dtv.com/songs/60024556.mkv
惊喜,http://em.21dtv.com/songs/60024208.mkv
交织千个心,http://em.21dtv.com/songs/60023461.mkv
可否冲破,http://em.21dtv.com/songs/60025288.mkv
看星,http://em.21dtv.com/songs/60095243.mkv
抗战二十年,http://em.21dtv.com/songs/60092142.mkv
Love,http://em.21dtv.com/songs/60003625.mkv
冷雨夜(演唱会),http://em.21dtv.com/songs/60026625.mkv
门外看,http://em.21dtv.com/songs/60029414.mkv
命运是你家(演唱会),http://em.21dtv.com/songs/60030305.mkv
农民(演唱会),http://em.21dtv.com/songs/60032752.mkv
真的爱你,http://em.21dtv.com/songs/60089563.mkv
漆黑的空间,http://em.21dtv.com/songs/60077112.mkv
请将手放开,http://em.21dtv.com/songs/60035529.mkv
情人,http://em.21dtv.com/songs/60035167.mkv
情人(国)(演唱会),http://em.21dtv.com/songs/60035161.mkv
谁伴我闯荡,http://em.21dtv.com/songs/60039940.mkv
是错也再不分(演唱会),http://em.21dtv.com/songs/60092144.mkv
逝去日子(演唱会),http://em.21dtv.com/songs/60039555.mkv
时日无多,http://em.21dtv.com/songs/60039155.mkv
岁月无声(演唱会),http://em.21dtv.com/songs/60040986.mkv
失踪,http://em.21dtv.com/songs/60095242.mkv
太空(演唱会),http://em.21dtv.com/songs/60041330.mkv
褪色,http://em.21dtv.com/songs/60095244.mkv
叹息(演唱会),http://em.21dtv.com/songs/60041472.mkv
无悔这一生,http://em.21dtv.com/songs/60047143.mkv
无尽空虚,http://em.21dtv.com/songs/60047169.mkv
无泪的遗憾,http://em.21dtv.com/songs/60047197.mkv
为了您为了我,http://em.21dtv.com/songs/60043918.mkv
温暖的家乡,http://em.21dtv.com/songs/60044334.mkv
完全地爱吧,http://em.21dtv.com/songs/60043145.mkv
完全的拥有(演唱会),http://em.21dtv.com/songs/60043144.mkv
无声的告别(演唱会),http://em.21dtv.com/songs/60047411.mkv
我是愤怒(演唱会),http://em.21dtv.com/songs/60046102.mkv
文武英杰宣言,http://em.21dtv.com/songs/60072508.mkv
午夜迷墙,http://em.21dtv.com/songs/60047729.mkv
无语问苍天,http://em.21dtv.com/songs/60047552.mkv
午夜怨曲(演唱会),http://em.21dtv.com/songs/60047744.mkv
喜欢你(演唱会),http://em.21dtv.com/songs/60048124.mkv
醒你,http://em.21dtv.com/songs/60049082.mkv
心内心外,http://em.21dtv.com/songs/60152199.mkv
昔日舞曲,http://em.21dtv.com/songs/60048007.mkv
牺牲,http://em.21dtv.com/songs/60048010.mkv
预备,http://em.21dtv.com/songs/60055803.mkv
总有爱,http://em.21dtv.com/songs/60052767.mkv
亚拉伯跳舞女郎(演唱会),http://em.21dtv.com/songs/60051893.mkv
原谅我今天,http://em.21dtv.com/songs/60092140.mkv
遥望,http://em.21dtv.com/songs/60052308.mkv
愿我能(演唱会),http://em.21dtv.com/songs/60056228.mkv
一厢情愿,http://em.21dtv.com/songs/60053778.mkv
遥远的Paradise,http://em.21dtv.com/songs/60052320.mkv
Paradise,http://em.21dtv.com/songs/60004411.mkv
夜长梦多(演唱会),http://em.21dtv.com/songs/60052701.mkv
早班火车,http://em.21dtv.com/songs/60057292.mkv
长城,http://em.21dtv.com/songs/60057559.mkv
再见理想(演唱会),http://em.21dtv.com/songs/60056875.mkv
祝您愉快(双语种)(演唱会),http://em.21dtv.com/songs/60059394.mkv
战胜心魔,http://em.21dtv.com/songs/60057473.mkv

陈百强$$$http://cwc.serv00.net/wallpaper/poster/陈百强.jpg,#genre#
不,http://em.21dtv.com/songs/60010954.mkv
半分缘,http://em.21dtv.com/songs/60009859.mkv
背着良心的说话,http://em.21dtv.com/songs/60010271.mkv
不再问究竟,http://em.21dtv.com/songs/60011756.mkv
宠爱,http://em.21dtv.com/songs/60012875.mkv
从今以后,http://em.21dtv.com/songs/60013520.mkv
等,http://em.21dtv.com/songs/60014842.mkv
对不对,http://em.21dtv.com/songs/60015969.mkv
对酒当歌(演唱会),http://em.21dtv.com/songs/60016016.mkv
当我想起你,http://em.21dtv.com/songs/60014626.mkv
粉红色的一生,http://em.21dtv.com/songs/60017171.mkv
感情到老,http://em.21dtv.com/songs/60017998.mkv
孤雁,http://em.21dtv.com/songs/60018927.mkv
喝采,http://em.21dtv.com/songs/60020285.mkv
画出彩虹,http://em.21dtv.com/songs/60021605.mkv
疾风,http://em.21dtv.com/songs/60022621.mkv
几分钟的约会,http://em.21dtv.com/songs/60022655.mkv
寂寞的感觉(演唱会),http://em.21dtv.com/songs/60022841.mkv
今宵多珍重(演唱会),http://em.21dtv.com/songs/60023922.mkv
涟漪,http://em.21dtv.com/songs/60026959.mkv
浪子心声(演唱会),http://em.21dtv.com/songs/60026294.mkv
梦里人,http://em.21dtv.com/songs/60029601.mkv
念亲恩(演唱会),http://em.21dtv.com/songs/60032661.mkv
凝望,http://em.21dtv.com/songs/60032718.mkv
偶像,http://em.21dtv.com/songs/60033067.mkv
偏偏喜欢你,http://em.21dtv.com/songs/60033420.mkv
盼三年,http://em.21dtv.com/songs/60033162.mkv
盼望的缘份,http://em.21dtv.com/songs/60033167.mkv
凭着爱(演唱会),http://em.21dtv.com/songs/60033634.mkv
亲爱的您,http://em.21dtv.com/songs/60034513.mkv
深爱着你(演唱会),http://em.21dtv.com/songs/60038278.mkv
Scarborough Fair(演唱会),http://em.21dtv.com/songs/60004852.mkv
Sealed With A Kiss(演唱会),http://em.21dtv.com/songs/60004864.mkv
试问谁没错,http://em.21dtv.com/songs/60039371.mkv
双星情歌(演唱会),http://em.21dtv.com/songs/60039902.mkv
神仙也移民,http://em.21dtv.com/songs/60038507.mkv
天才白痴梦,http://em.21dtv.com/songs/60041756.mkv
突破(演唱会),http://em.21dtv.com/songs/60042922.mkv
天生不是情人,http://em.21dtv.com/songs/60041998.mkv
我爱白云(演唱会),http://em.21dtv.com/songs/60044537.mkv
我的故事,http://em.21dtv.com/songs/60045080.mkv
相思河畔,http://em.21dtv.com/songs/60048758.mkv
有了你,http://em.21dtv.com/songs/60055166.mkv
眼泪为你流,http://em.21dtv.com/songs/60052079.mkv
一生不可自决,http://em.21dtv.com/songs/60053517.mkv
一生何求,http://em.21dtv.com/songs/60053553.mkv
烟雨凄迷,http://em.21dtv.com/songs/60051999.mkv
至爱,http://em.21dtv.com/songs/60058792.mkv
摘星,http://em.21dtv.com/songs/60057433.mkv
只因爱你,http://em.21dtv.com/songs/60058555.mkv

陈慧娴$$$http://cwc.serv00.net/wallpaper/poster/陈慧娴.jpg,#genre#
爱亦要舍弃,http://em.21dtv.com/songs/60009086.mkv
爱在深秋,http://em.21dtv.com/songs/60009188.mkv
冰点(演唱会),http://em.21dtv.com/songs/60010811.mkv
不羁恋人(演唱会),http://em.21dtv.com/songs/60011170.mkv
玻璃窗的爱,http://em.21dtv.com/songs/60010903.mkv
变心,http://em.21dtv.com/songs/60010518.mkv
Close To You(演唱会),http://em.21dtv.com/songs/60000951.mkv
从来是一对,http://em.21dtv.com/songs/60013541.mkv
痴情意外,http://em.21dtv.com/songs/60012741.mkv
Dancing Boy(演唱会),http://em.21dtv.com/songs/60001142.mkv
到处留情,http://em.21dtv.com/songs/60014726.mkv
等了又等(演唱会),http://em.21dtv.com/songs/60014948.mkv
Don't Cry For Me Argentina(演唱会),http://em.21dtv.com/songs/60001310.mkv
地球和月亮的故事,http://em.21dtv.com/songs/60015105.mkv
二人时间(演唱会),http://em.21dtv.com/songs/60016375.mkv
反叛(演唱会),http://em.21dtv.com/songs/60016496.mkv
孤单背影,http://em.21dtv.com/songs/60018831.mkv
归来吧,http://em.21dtv.com/songs/60019366.mkv
故梦,http://em.21dtv.com/songs/60093440.mkv
回报,http://em.21dtv.com/songs/60022073.mkv
喝采(演唱会),http://em.21dtv.com/songs/60020282.mkv
红茶馆(演唱会),http://em.21dtv.com/songs/60020753.mkv
花店(演唱会),http://em.21dtv.com/songs/60021325.mkv
花火(演唱会),http://em.21dtv.com/songs/60021396.mkv
还是告别吧,http://em.21dtv.com/songs/60019608.mkv
还是喜欢看你,http://em.21dtv.com/songs/60019630.mkv
Jealousy,http://em.21dtv.com/songs/60003055.mkv
距离,http://em.21dtv.com/songs/60024742.mkv
Joe Le Taxi(演唱会),http://em.21dtv.com/songs/60003077.mkv
几时再见(演唱会),http://em.21dtv.com/songs/60022664.mkv
今天的爱人是谁,http://em.21dtv.com/songs/60023835.mkv
今天夜里总下雨,http://em.21dtv.com/songs/60023885.mkv
可否,http://em.21dtv.com/songs/60025286.mkv
恋恋风尘,http://em.21dtv.com/songs/60027093.mkv
黎明不要来(演唱会),http://em.21dtv.com/songs/60026831.mkv
Lonely,http://em.21dtv.com/songs/60098877.mkv
Love Me Once Again,http://em.21dtv.com/songs/60003566.mkv
连锁反应,http://em.21dtv.com/songs/60076406.mkv
礼物,http://em.21dtv.com/songs/60026849.mkv
梁祝+碎花,http://em.21dtv.com/songs/60093444.mkv
默契(演唱会),http://em.21dtv.com/songs/60030481.mkv
明日有明天,http://em.21dtv.com/songs/60030152.mkv
My Love Will Get You Home(演唱会),http://em.21dtv.com/songs/60004006.mkv
你的梦我的梦,http://em.21dtv.com/songs/60031586.mkv
你身边永是我,http://em.21dtv.com/songs/60031983.mkv
你喜欢我什么,http://em.21dtv.com/songs/60032350.mkv
你怎么舍得我难过,http://em.21dtv.com/songs/60147872.mkv
飘(演唱会),http://em.21dtv.com/songs/60033503.mkv
抛抛(演唱会),http://em.21dtv.com/songs/60033192.mkv
偏偏喜欢你,http://em.21dtv.com/songs/60162885.mkv
飘雪,http://em.21dtv.com/songs/60033539.mkv
去吧(演唱会),http://em.21dtv.com/songs/60035835.mkv
七分爱情三分骗,http://em.21dtv.com/songs/60033740.mkv
奇妙旅程,http://em.21dtv.com/songs/60033956.mkv
千千阙歌,http://em.21dtv.com/songs/60034146.mkv
秋色(演唱会),http://em.21dtv.com/songs/60035696.mkv
情意结(演唱会),http://em.21dtv.com/songs/60035414.mkv
让爱绽放,http://em.21dtv.com/songs/60067361.mkv
如果你知我苦衷,http://em.21dtv.com/songs/60114211.mkv
人生何处不相逢(演唱会),http://em.21dtv.com/songs/60036412.mkv
让我抱着你哭,http://em.21dtv.com/songs/60036121.mkv
让一切随风,http://em.21dtv.com/songs/60100587.mkv
碎花(演唱会),http://em.21dtv.com/songs/60040994.mkv
谁可改变(演唱会),http://em.21dtv.com/songs/60040001.mkv
什么都想要,http://em.21dtv.com/songs/60038404.mkv
傻女(演唱会),http://em.21dtv.com/songs/60037531.mkv
傻女的新衣,http://em.21dtv.com/songs/60037536.mkv
逝去的诺言(演唱会),http://em.21dtv.com/songs/60039551.mkv
贪贪贪,http://em.21dtv.com/songs/60041422.mkv
跳舞街(演唱会),http://em.21dtv.com/songs/60042448.mkv
为何仍是你,http://em.21dtv.com/songs/60043883.mkv
忘记悲伤(演唱会),http://em.21dtv.com/songs/60043526.mkv
我寂寞,http://em.21dtv.com/songs/60045626.mkv
我肯我等我害怕,http://em.21dtv.com/songs/60045692.mkv
无名指(演唱会),http://em.21dtv.com/songs/60047249.mkv
为你好,http://em.21dtv.com/songs/60043975.mkv
无奈是女人,http://em.21dtv.com/songs/60093441.mkv
问题女人,http://em.21dtv.com/songs/60044482.mkv
玩味,http://em.21dtv.com/songs/60043180.mkv
我心不死(演唱会),http://em.21dtv.com/songs/60046442.mkv
我也有懦弱的时候,http://em.21dtv.com/songs/60088874.mkv
萧邦与我,http://em.21dtv.com/songs/60049448.mkv
雪飞花,http://em.21dtv.com/songs/60072678.mkv
销魂夜(演唱会),http://em.21dtv.com/songs/60049451.mkv
心就要飞了,http://em.21dtv.com/songs/60050320.mkv
相恋300小时,http://em.21dtv.com/songs/60048685.mkv
心满意足(演唱会),http://em.21dtv.com/songs/60050382.mkv
相识非偶然(演唱会),http://em.21dtv.com/songs/60048707.mkv
夜半歌声(演唱会),http://em.21dtv.com/songs/60052526.mkv
夜半惊魂(演唱会),http://em.21dtv.com/songs/60052533.mkv
月半小夜曲(演唱会),http://em.21dtv.com/songs/60056279.mkv
Yesterday Once More(演唱会),http://em.21dtv.com/songs/60006461.mkv
夜机,http://em.21dtv.com/songs/60052579.mkv
月亮(演唱会),http://em.21dtv.com/songs/60056374.mkv
与泪抱拥(演唱会),http://em.21dtv.com/songs/60055581.mkv
夜了点,http://em.21dtv.com/songs/60052614.mkv
月亮的随想(演唱会),http://em.21dtv.com/songs/60056401.mkv
缘了就是完,http://em.21dtv.com/songs/60056103.mkv
永远爱你的人,http://em.21dtv.com/songs/60054671.mkv
最爱是谁(演唱会),http://em.21dtv.com/songs/60060101.mkv
最后的缠绵,http://em.21dtv.com/songs/60060171.mkv
正是爱,http://em.21dtv.com/songs/60058353.mkv
左右手(演唱会),http://em.21dtv.com/songs/60060660.mkv
这一天,http://em.21dtv.com/songs/60057948.mkv

邓丽君$$$http://cwc.serv00.net/wallpaper/poster/邓丽君.jpg,#genre#
但愿人长久(演唱会),http://em.21dtv.com/songs/60014427.mkv
月亮代表我的心,http://em.21dtv.com/songs/60056396.mkv
假如我是真的,http://em.21dtv.com/songs/60023119.mkv
在水一方,http://em.21dtv.com/songs/60057140.mkv
爱的理想,http://em.21dtv.com/songs/60007294.mkv
爱的箴言,http://em.21dtv.com/songs/60007456.mkv
爱人,http://em.21dtv.com/songs/60008537.mkv
爱像一首歌,http://em.21dtv.com/songs/60008994.mkv
别把眉儿皱,http://em.21dtv.com/songs/60010565.mkv
北国之春(演唱会),http://em.21dtv.com/songs/60010174.mkv
别离,http://em.21dtv.com/songs/60103601.mkv
不着痕迹,http://em.21dtv.com/songs/60011778.mkv
船歌(演唱会),http://em.21dtv.com/songs/60013144.mkv
偿还,http://em.21dtv.com/songs/60012289.mkv
从今日起你,http://em.21dtv.com/songs/60013517.mkv
初恋的情人,http://em.21dtv.com/songs/60013013.mkv
彩霞回来吧,http://em.21dtv.com/songs/60088742.mkv
多情的玫瑰,http://em.21dtv.com/songs/60016148.mkv
东山飘雨西山晴,http://em.21dtv.com/songs/60015555.mkv
独上西楼,http://em.21dtv.com/songs/60015803.mkv
冬天的回忆,http://em.21dtv.com/songs/60156628.mkv
冬之恋情,http://em.21dtv.com/songs/60015619.mkv
恩爱夫妻,http://em.21dtv.com/songs/60102772.mkv
风霜伴我行,http://em.21dtv.com/songs/60017374.mkv
枫叶飘飘,http://em.21dtv.com/songs/60095100.mkv
告诉你告诉我,http://em.21dtv.com/songs/60018291.mkv
恨不相逢未嫁时,http://em.21dtv.com/songs/60020691.mkv
何日君再来(演唱会),http://em.21dtv.com/songs/60020385.mkv
海韵(演唱会),http://em.21dtv.com/songs/60019827.mkv
几多愁(演唱会),http://em.21dtv.com/songs/60022646.mkv
江水要比河水长,http://em.21dtv.com/songs/60102774.mkv
君心我心,http://em.21dtv.com/songs/60024930.mkv
九月的故事,http://em.21dtv.com/songs/60024354.mkv
寄语多情人,http://em.21dtv.com/songs/60102771.mkv
酒醉的探戈,http://em.21dtv.com/songs/60024481.mkv
来电是有缘,http://em.21dtv.com/songs/60103604.mkv
泪的小雨,http://em.21dtv.com/songs/60026519.mkv
绿岛小夜曲,http://em.21dtv.com/songs/60168222.mkv
脸儿微笑花儿香(演),http://em.21dtv.com/songs/60100492.mkv
梦,http://em.21dtv.com/songs/60029465.mkv
漫步人生路,http://em.21dtv.com/songs/60028564.mkv
梅花,http://em.21dtv.com/songs/60028977.mkv
妈妈的歌,http://em.21dtv.com/songs/60028226.mkv
妈妈呼唤你,http://em.21dtv.com/songs/60028258.mkv
莫忘今宵(演唱会),http://em.21dtv.com/songs/60030436.mkv
梦向何处寻,http://em.21dtv.com/songs/60156629.mkv
奈何(演唱会),http://em.21dtv.com/songs/60030870.mkv
南海姑娘(演唱会),http://em.21dtv.com/songs/60031106.mkv
浓情万缕,http://em.21dtv.com/songs/60032773.mkv
女人的勇气,http://em.21dtv.com/songs/60101184.mkv
你是我的知音,http://em.21dtv.com/songs/60089497.mkv
难忘初恋情人(演唱会),http://em.21dtv.com/songs/60031240.mkv
难忘的一天,http://em.21dtv.com/songs/60031268.mkv
你为何不说,http://em.21dtv.com/songs/60032295.mkv
你怎么说(演唱会),http://em.21dtv.com/songs/60032505.mkv
你在我心中,http://em.21dtv.com/songs/60032478.mkv
偶然的相遇,http://em.21dtv.com/songs/60131862.mkv
情人的关怀,http://em.21dtv.com/songs/60035185.mkv
恰似你的温柔,http://em.21dtv.com/songs/60034047.mkv
千言万语(演唱会),http://em.21dtv.com/songs/60034169.mkv
人面桃花(演唱会),http://em.21dtv.com/songs/60036356.mkv
人约黄昏后,http://em.21dtv.com/songs/60036476.mkv
水上人,http://em.21dtv.com/songs/60040221.mkv
丝丝小雨,http://em.21dtv.com/songs/60040459.mkv
甜蜜蜜,http://em.21dtv.com/songs/60042384.mkv
我不再迷惘,http://em.21dtv.com/songs/60044919.mkv
微风细雨,https://www.youtube.com/watch?v=QFqpwOaMKKc
忘记他,http://em.21dtv.com/songs/60043558.mkv
我心深处,http://em.21dtv.com/songs/60046451.mkv
我怎舍得你,http://em.21dtv.com/songs/60046825.mkv
我只在乎你,http://em.21dtv.com/songs/60046913.mkv
小城故事,https://www.youtube.com/watch?v=rQSJavOZflQ
小村之恋,http://em.21dtv.com/songs/60049533.mkv
心事知多少,http://em.21dtv.com/songs/60050510.mkv
云河,http://em.21dtv.com/songs/60056649.mkv
又见炊烟,http://em.21dtv.com/songs/60055434.mkv
夜来香(演唱会),http://em.21dtv.com/songs/60052600.mkv
虞美人,http://em.21dtv.com/songs/60055562.mkv
一片落叶,http://em.21dtv.com/songs/60053343.mkv
伊人何处,http://em.21dtv.com/songs/60053960.mkv
夜色,http://em.21dtv.com/songs/60067692.mkv
原乡情浓(演唱会),http://em.21dtv.com/songs/60056019.mkv
原乡人,http://em.21dtv.com/songs/60056021.mkv
再见我的爱人(演唱会),http://em.21dtv.com/songs/60056900.mkv
昨天今天,http://em.21dtv.com/songs/60103602.mkv
星愿,http://em.21dtv.com/songs/60051154.mkv
